"ENTREPRISES";"PROJETS";"THEMATIQUE";"PAGE";"VAGUE";"URL_FICH_ORIGINE";"REALISATION_DEBUT";"REALISATION_FIN";"MONTANT";"AIDE";"DEPT"
"Incepto Medical";"Augmented Radiology";"SANTÉ";55;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2019";780412;351185;"75"
"InnovaFeed";"InScale";"ECONOMIE CIRCULAIRE";25;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";3281800;1360980;"80"
"Intent – Drone Interactive";"ARCADRONE";"NUMÉRIQUE";42;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";718909;323509;"38"
"INVERS";"INFARM";"AGRICULTURE, INDUSTRIE ET SYLVICULTURE ÉCO-EFFICIENTES";16;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";769300;325251;"63"
"IT CONTROL EXPERT";"ECOSTRAUV";"PERFORMANCE ENVIRONNEMENTALE DES BÂTIMENTS";9;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";784853;339055;"03"
"Lactips";"EMBALACTIF";"ALIMENTATION INTELLIGENTE";78;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2020";693000;312000;"42"
"Les Alchimistes";"Alchimistes";"ECONOMIE CIRCULAIRE";26;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2021";772210;312017;"93"
"Linkednutri";"Linkednutri";"ALIMENTATION INTELLIGENTE";79;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2022";3400000;NA;"94"
"LXRepair";"ZYMONCO";"SANTÉ";56;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2019";"2021";793182;356931;"38"
"Mac-Lloyd";"GPSKIN";"NUMÉRIQUE";43;2;"../Data/vague_1_6/i-nov-palmar-s-vague-2-19084.pdf";"2018";"2020";796314;358341;"12"
